Date,open_interest_divergence.20,momentum.20,carry.20,retail_flow.20,foundational.20
12/06/2021,0.026567749,-0.01384228,0.008568004,0.005334741,-0.82%
13/06/2021,0.014739538,0.010053125,0.02043347,-0.001072421,3.52%
14/06/2021,0.00682947,0.007761289,0.004700996,0.007234006,0.88%
15/06/2021,-0.003841596,0.008927092,-0.038227655,0.0111625,-1.84%
16/06/2021,0.0011361,0.017067157,-0.015981908,-0.019454774,0.76%
17/06/2021,0.000274693,-0.001472795,0.015890882,0.018317224,0.97%
18/06/2021,-0.013333391,0.002976635,-0.013273098,-0.02790944,-1.30%
19/06/2021,0.0006463,-0.000604403,0.011827776,-0.005891582,1.02%
20/06/2021,0.017857834,-0.017257133,0.002132165,0.015476524,-1.30%
21/06/2021,-0.022362556,-0.018282869,0.029434074,0.012854137,3.69%
22/06/2021,0.014522384,0.032725734,-0.01184526,-0.019516231,1.56%
23/06/2021,-0.009210993,-0.000630354,0.025741273,-0.022377422,0.87%
24/06/2021,-0.022492186,0.028256849,-0.008420386,-0.013785151,1.60%
25/06/2021,-0.030205475,-0.007872444,0.001943136,-0.004430452,-0.76%
26/06/2021,-0.005007587,0.004542709,-0.007390027,0.004248229,0.19%
27/06/2021,0.004837004,-0.031005759,0.060644249,0.003221394,2.07%
28/06/2021,-0.005832286,-0.030078584,-0.009211878,-0.009570226,-3.02%
29/06/2021,-0.05211171,-0.043350168,0.040811017,0.00278671,-1.37%
30/06/2021,0.015878314,-0.012695483,0.012818412,0.005780815,-0.15%
01/07/2021,-0.018509408,-0.002264348,-0.001506248,0.011897167,0.94%
02/07/2021,0.003950534,0.010581325,0.010182878,0.007136485,1.29%
03/07/2021,0.001870085,-0.008256945,0.000173247,-0.022038521,-0.67%
04/07/2021,0.013909972,-0.003336223,0.006957529,-0.004561644,0.38%
05/07/2021,0.00572148,0.006384423,0.006133273,0.030100893,1.12%
06/07/2021,0.038385541,-0.00410081,0.012025835,-0.012016557,0.31%
07/07/2021,0.014761758,-0.009147367,-0.010860201,-0.004844318,-1.49%
08/07/2021,-0.017628317,-0.010654565,0.009788357,0.014376797,0.43%
09/07/2021,-0.026444419,-0.005602492,0.012246346,0.002460473,-0.35%
10/07/2021,0.000736332,-0.004823596,0.016149199,0.012548502,0.61%
11/07/2021,0.003864267,0.006663493,0.004026487,-0.006207131,0.75%
12/07/2021,-0.020678663,0.004410013,-0.005497955,0.000566962,-0.14%
13/07/2021,-0.004431512,-0.005984107,0.016006639,0.010838309,0.81%
14/07/2021,-0.005078002,-0.002783668,0.002712793,-0.009416199,-0.06%
15/07/2021,-0.006867211,0.001916168,0.005720689,0.014710331,0.54%
16/07/2021,-0.019554244,0.018248519,0.009267027,0.010999779,2.33%
17/07/2021,0.004584011,-0.012074487,-0.004233521,-0.013178875,-0.94%
18/07/2021,0.005765976,-0.007685116,0.006554475,-0.004628277,-0.49%
19/07/2021,-0.022519692,0.002762927,0.004415079,-0.002804447,1.77%
20/07/2021,-0.018928933,-0.001235676,-0.008981187,0.003629795,0.75%
21/07/2021,0.035156787,-0.022362587,-0.002060002,-0.001345139,-4.93%
22/07/2021,0.027392746,-0.02510886,-0.027377719,0.017546324,-3.29%
23/07/2021,0.00029939,0.01418033,0.005809757,0.007430315,1.38%
24/07/2021,0.002110983,-0.032900761,-0.024409164,0.006898135,-3.70%
25/07/2021,0.031061706,-0.015597384,0.008826318,0.003710643,-0.59%
26/07/2021,-0.015530274,-0.009741571,-0.004065155,0.010075053,-0.90%
27/07/2021,0.015354855,0.012938909,0.012770781,0.021039186,1.65%
28/07/2021,-0.007820556,0.015337172,0.012765188,0.005089825,2.02%
29/07/2021,0.001926847,-0.00684719,-0.020331436,-0.004123765,-1.79%
30/07/2021,-0.006619035,0.008975143,0.008613017,-0.001646657,0.39%
31/07/2021,0.016209236,-0.024368566,-0.022035601,-0.004547272,-2.85%
01/08/2021,-0.013109861,-0.00728221,0.056171917,0.007578178,2.53%
02/08/2021,-0.013170444,0.007002531,-0.007195736,-0.002929686,0.38%
03/08/2021,0.000211575,-0.025845224,-0.030417209,-0.023327938,-3.72%
04/08/2021,0.016150472,0.034045965,0.011607074,0.032881996,2.97%
05/08/2021,0.044812251,0.020122742,-0.014684221,-0.028113661,0.35%
